time,base_mean_relative_l2,base_q10,base_q90,lora_mean_relative_l2,lora_q10,lora_q90
2.739726027397260211e+01,5.087849081302536769e-01,2.325285530611792273e-01,7.575938044435382990e-01,2.081375038444069347e-01,1.124703958369897561e-01,4.319419439480916556e-01
2.749510763209393005e+01,5.118233994580629886e-01,2.349396243450976030e-01,7.563395040824874016e-01,2.095416459456553304e-01,1.111594293821392132e-01,4.349153297229243487e-01
2.759295499021526155e+01,5.148808777930764524e-01,2.373593589889348432e-01,7.548739552619561088e-01,2.109409103367971827e-01,1.098826917676373749e-01,4.378562074762286649e-01
2.769080234833659659e+01,5.179384913199747142e-01,2.397789101464609940e-01,7.531699660327658696e-01,2.123266421194320019e-01,1.086623814779817676e-01,4.407488475963184937e-01
2.778864970645792454e+01,5.209772221809984005e-01,2.421894025609018231e-01,7.512004893305992415e-01,2.136904698560295746e-01,1.075250719143555633e-01,4.435801048792133439e-01
2.788649706457925248e+01,5.239781314775694421e-01,2.445820002679077176e-01,7.502578943305745485e-01,2.150245244939050226e-01,1.064999052525079232e-01,4.463404035104049372e-01
2.798434442270058398e+01,5.269226037341511182e-01,2.469480112848431164e-01,7.554635453530846867e-01,2.163215866801433962e-01,1.056152903572220303e-01,4.490246406946332702e-01
2.808219178082191902e+01,5.297926419862435399e-01,2.492790369814302243e-01,7.607968338131422259e-01,2.175752421635936407e-01,1.048948796573089537e-01,4.516329319681661181e-01
2.818003913894324697e+01,5.325712579011308012e-01,2.515671740396803746e-01,7.662552784602734146e-01,2.187801339475953510e-01,1.043538189655626169e-01,4.541711167229954826e-01
2.827788649706457491e+01,5.352429826509743638e-01,2.538052735549220507e-01,7.718304772123419921e-01,2.199323722088291633e-01,1.039961876391589796e-01,4.566509428332047316e-01
2.837573385518590996e+01,5.377944977662550974e-01,2.559872548709196671e-01,7.775071814412802818e-01,2.210301050531532918e-01,1.038141991253705709e-01,4.590898558133784668e-01
2.847358121330724146e+01,5.402153564190272927e-01,2.581084617531679837e-01,7.832631834165700857e-01,2.220741841392231686e-01,1.037892437923592648e-01,4.615103323231171117e-01
2.857142857142856940e+01,5.424987401801375508e-01,2.601660367646215777e-01,7.890700029404248417e-01,2.230688033655895963e-01,1.038944062812262453e-01,4.639387219805599094e-01
2.866927592954989734e+01,5.446421787838520157e-01,2.621592781827781771e-01,7.948942774395931776e-01,2.240219645140618110e-01,1.040978221582746777e-01,4.664035970924024221e-01
2.876712328767123239e+01,5.466481532914667651e-01,2.640899349364699278e-01,8.006996937868144926e-01,2.249456357931419459e-01,1.043662005985103031e-01,4.689336577236351555e-01
2.886497064579256389e+01,5.485245064847342755e-01,2.659623913752258706e-01,8.064492562201259762e-01,2.258555094512106898e-01,1.046679804709673978e-01,4.715552979223104901e-01
2.896281800391389183e+01,5.502845967795340076e-01,2.677836972561117301e-01,8.121076656845649389e-01,2.267703189339541070e-01,1.049758061090417804e-01,4.742900027686044462e-01
2.906066536203521977e+01,5.519471509743922866e-01,2.695634100835002100e-01,8.176435907406556236e-01,2.277107324785893616e-01,1.052682137742675661e-01,4.771518058819241848e-01
2.915851272015655482e+01,5.535357941986540631e-01,2.713132362215982529e-01,8.230316346129170624e-01,2.286978927619364721e-01,1.055305593272686387e-01,4.801450800215830150e-01
2.925636007827788632e+01,5.550782602974034807e-01,2.730464816208472700e-01,8.282538405927090119e-01,2.297517203351303883e-01,1.057552845988039419e-01,4.832629449386689480e-01
2.935420743639921426e+01,5.566053106992274735e-01,2.747773486884872995e-01,8.333006217552293426e-01,2.308891415800886637e-01,1.059416345542780469e-01,4.864865447106664909e-01
2.945205479452054220e+01,5.581494127732545829e-01,2.765201381829661131e-01,8.381710444190532128e-01,2.321224353676058505e-01,1.063691335447661535e-01,4.897853667617705353e-01
2.954990215264187725e+01,5.597432480038386782e-01,2.782884297126424489e-01,8.428724335068821238e-01,2.334579067161368648e-01,1.069621737303474013e-01,4.931186530854410610e-01
2.964774951076321230e+01,5.614181344014281816e-01,2.800943185241250299e-01,8.474193002132931474e-01,2.348950784940608827e-01,1.075475357558567657e-01,4.964378092437352064e-01
2.974559686888454024e+01,5.632024554731461796e-01,2.819477789527248257e-01,8.518316194501744931e-01,2.364265362189580943e-01,1.081277633133431310e-01,4.996895756623216944e-01
2.984344422700586819e+01,5.651201898847901806e-01,2.838562076929100342e-01,8.561325105947863445e-01,2.380384713284487697e-01,1.087068134186405799e-01,5.028196176332896394e-01
2.994129158512719968e+01,5.671896328039804924e-01,2.858241763680153258e-01,8.603454064047162397e-01,2.397118652159022090e-01,1.092898588952020550e-01,5.057761380255085815e-01
3.003913894324853473e+01,5.694223934759328198e-01,2.878533971851475193e-01,8.644908385557773522e-01,2.414241688047690515e-01,1.098829911021135392e-01,5.085131297961399399e-01
3.013698630136986267e+01,5.718227450363274622e-01,2.899428821098746223e-01,8.685830294139122998e-01,2.431512840076259230e-01,1.104928371966975853e-01,5.109929583744645676e-01
3.023483365949119062e+01,5.743873917072686019e-01,2.920892582963029449e-01,8.726265587730124285e-01,2.448696497432543140e-01,1.111261179135107774e-01,5.131880782017164133e-01
3.033268101761252211e+01,5.771057034669812014e-01,2.942871921822588499e-01,8.766134630814437223e-01,2.465582626075225881e-01,1.117891820440955197e-01,5.150818175988575165e-01
3.043052837573385716e+01,5.799604461354327389e-01,2.965298717922363880e-01,8.805212030218753094e-01,2.482004980069355271e-01,1.124875606638020831e-01,5.166682865554540482e-01
3.052837573385518510e+01,5.829290031188930632e-01,2.988095001971212139e-01,8.843119710195647132e-01,2.497856233027957451e-01,1.132255859161325345e-01,5.179515542203361189e-01
3.062622309197651305e+01,5.859850433842848094e-01,3.011177608764079028e-01,8.879337645004451440e-01,2.513099048515899936e-01,1.140061146105809109e-01,5.189442974278284382e-01
3.072407045009784454e+01,5.891005412801626484e-01,3.034462259030177300e-01,8.913234908318432570e-01,2.527772130695487562e-01,1.148303858473350425e-01,5.196661382908948079e-01
3.082191780821917959e+01,5.922480036351331911e-01,3.057866886898342740e-01,8.944120878432303412e-01,2.541990380089003132e-01,1.156980255847218225e-01,5.201418742486455526e-01
3.091976516634050753e+01,5.954027169833948641e-01,3.081314132407514395e-01,8.971312734142556922e-01,2.555938563078728465e-01,1.166071921033024206e-01,5.203997679025293976e-01
3.101761252446183548e+01,5.985448030183924129e-01,3.104733006570050691e-01,8.994211589933207573e-01,2.569858466305003364e-01,1.175548381186985458e-01,5.204700168829338169e-01
