time,base_mean_relative_l2,base_q10,base_q90,lora_mean_relative_l2,lora_q10,lora_q90
2.632093933463795921e+01,6.525268475639223187e-01,3.349267921328416553e-01,9.930817562953129229e-01,2.010745098908043593e-01,4.201486969914338537e-02,4.633057469546608687e-01
2.641878669275929425e+01,6.555158472272358816e-01,3.388639438667523929e-01,9.968415214942419889e-01,2.027673249615098983e-01,4.245486708591399844e-02,4.655083056225434168e-01
2.651663405088062575e+01,6.585677823758848692e-01,3.430490810680854596e-01,1.000715169303722396e+00,2.044384315845778344e-01,4.290629647851342682e-02,4.673273786405331420e-01
2.661448140900195369e+01,6.616759250898757161e-01,3.474397822850750495e-01,1.004694178025546725e+00,2.060857785415389221e-01,4.336614998436100210e-02,4.687590784743251304e-01
2.671232876712328164e+01,6.648340987114601530e-01,3.519969932084791586e-01,1.008768775635732196e+00,2.077054694743317997e-01,4.383194310659916521e-02,4.698006785047796896e-01
2.681017612524461668e+01,6.680365673310435515e-01,3.566861108919741064e-01,1.012927790771093850e+00,2.092913799585210399e-01,4.430161916236754344e-02,4.704506493774888165e-01
2.690802348336595173e+01,6.712779534264818881e-01,3.614776011837211867e-01,1.017158465413834367e+00,2.108350278834903446e-01,4.477347044504861179e-02,4.707087818775501087e-01
2.700587084148727968e+01,6.745532222307025760e-01,3.663472264295163372e-01,1.021446243872068838e+00,2.123256892101323123e-01,4.524607514232564104e-02,4.705764139915244448e-01
2.710371819960860762e+01,6.778577474400198088e-01,3.712759686641011747e-01,1.025774558519145563e+00,2.137507188129915969e-01,4.571824752007381393e-02,4.700567747402750740e-01
2.720156555772993912e+01,6.811874437630426327e-01,3.762497301957133389e-01,1.030124639352322014e+00,2.150960293117751276e-01,4.618899819433171239e-02,4.691554488382788657e-01
2.729941291585127416e+01,6.845389253717877320e-01,3.812588831272165635e-01,1.034475381242973224e+00,2.163466934287661958e-01,4.665750121977679105e-02,4.678809534995145847e-01
2.739726027397260211e+01,6.879096327730842564e-01,3.862977257320032165e-01,1.038803308743211806e+00,2.174876536875533228e-01,4.712306505792522582e-02,4.671128820287649974e-01
2.749510763209393005e+01,6.912978687980516623e-01,3.913638895370483151e-01,1.043082681878237716e+00,2.185045339972371825e-01,4.758510512778457713e-02,4.717618828535173892e-01
2.759295499021526155e+01,6.947026985810816901e-01,3.964577282834760852e-01,1.047285785375996037e+00,2.193845435357980322e-01,4.832578362424416046e-02,4.759718268807941466e-01
2.769080234833659659e+01,6.981236958139819260e-01,4.015817095997899489e-01,1.051383435947778722e+00,2.201174440419323142e-01,4.917073607932416490e-02,4.797114604257421422e-01
2.778864970645792454e+01,7.015605517815958203e-01,4.067398225450937210e-01,1.055345725611334995e+00,2.206965223502178053e-01,5.002048531256848840e-02,4.829537362730289551e-01
2.788649706457925248e+01,7.050125959348618743e-01,4.119370090354683711e-01,1.059142992991942034e+00,2.211194792819530797e-01,5.087127526895351970e-02,4.856767467584136577e-01
2.798434442270058398e+01,7.084782982492000558e-01,4.171786241911128457e-01,1.062746980650423945e+00,2.213891235373372512e-01,5.115063337424976403e-02,4.878645326362981427e-01
2.808219178082191902e+01,7.119548283785614995e-01,4.224699293806173372e-01,1.066132099321346782e+00,2.215137537708942173e-01,5.134598467848496689e-02,4.895077208890309950e-01
2.818003913894324697e+01,7.154377337571493634e-01,4.278156217547295914e-01,1.069276686890471950e+00,2.215071290782154034e-01,5.154862413683033995e-02,4.906039544545514053e-01
2.827788649706457491e+01,7.189207730664205487e-01,4.320832289400996507e-01,1.072164129899755514e+00,2.213879678929547568e-01,5.176125287663115027e-02,4.911580895643287148e-01
2.837573385518590996e+01,7.223959115648019846e-01,4.314237305239891906e-01,1.074783716218165486e+00,2.211789718945159910e-01,5.198666758273644273e-02,4.911821505903191110e-01
2.847358121330724146e+01,7.258534599423801525e-01,4.347916801607652482e-01,1.077131113062373524e+00,2.209054345295736188e-01,5.222776223252518363e-02,4.906950465335253586e-01
2.857142857142856940e+01,7.292823249363320492e-01,4.410068775617652648e-01,1.079208412237364856e+00,2.205935523956129851e-01,5.248752419410251252e-02,4.897220662583462447e-01
2.866927592954989734e+01,7.326703392484010813e-01,4.474236459062630455e-01,1.081023745131883818e+00,2.202686058307059547e-01,5.276902230916058478e-02,4.882941803427150451e-01
2.876712328767123239e+01,7.360046469079026821e-01,4.540116035456430721e-01,1.082590530185942868e+00,2.199532121244751059e-01,5.307538578397062723e-02,4.864471854528820693e-01
2.886497064579256389e+01,7.392721320609757507e-01,4.607310189545351098e-01,1.083926461605759783e+00,2.196658792442082453e-01,5.340977412328209301e-02,4.842207323449021494e-01
2.896281800391389183e+01,7.424598883128972204e-01,4.675333591098839170e-01,1.085052370458185589e+00,2.194200853602173706e-01,5.377533971252853456e-02,4.816572811316646718e-01
